id,name,marriage
0,Amedeo Modigliani,1917-1920
1,Vasiliy Kandinskiy,
2,Diego Rivera,1929-1939-1940-1954
3,Claude Monet,1870-1879-1892-1926
4,Rene Magritte,1922-1967
5,Salvador Dali,1934-1989
6,Edouard Manet,1863-1883
7,Andrei Rublev,
8,Vincent van Gogh,
9,Gustav Klimt,
10,Hieronymus Bosch,
11,Kazimir Malevich,
12,Mikhail Vrubel,
13,Pablo Picasso,
14,Peter Paul Rubens,1608-1626-1630-1640
15,Pierre-Auguste Renoir,
16,Francisco Goya,
17,Frida Kahlo,
18,El Greco,
19,Albrecht Dürer,
20,Alfred Sisley,1860-1898
21,Pieter Bruegel,1553-1569
22,Marc Chagall,
23,Giotto di Bondone,
24,Sandro Botticelli,
25,Caravaggio,
26,Leonardo da Vinci,
27,Diego Velazquez,1620-1660
28,Henri Matisse,1890-1894-1898-1954
29,Jan van Eyck,1428-1441
30,Edgar Degas,
31,Rembrandt,
32,Titian,
33,Henri de Toulouse-Lautrec,1888-1889
34,Gustave Courbet,
35,Camille Pissarro,
36,William Turner,1820-1829
37,Edvard Munch,
38,Paul Cezanne,
39,Eugene Delacroix,
40,Henri Rousseau,1868-1888-1898-1902
41,Georges Seurat,1889-1891
42,Paul Klee,1906-1940
43,Piet Mondrian,
44,Joan Miro,1929-1983
45,Andy Warhol,
46,Paul Gauguin,1873-1884 
47,Raphael,1514-1520 
48,Michelangelo,
49,Jackson Pollock,1945-1956 
