id,name,work_name,file path,work_year
0,Amedeo Modigliani,Red-headed Girl in Evening Dress,Amedeo_Modigliani_161,1918
0,Amedeo Modigliani,Madame Pompadour,Amedeo_Modigliani_52,1914
0,Amedeo Modigliani,Jeanne Hébuterne in Red Shawl,Amedeo_Modigliani_170,1917
1,Vasiliy Kandinskiy,,Vasiliy_Kandinskiy_50,1903
1,Vasiliy Kandinskiy,Rotterdam Sun,Vasiliy_Kandinskiy_32,1906
1,Vasiliy Kandinskiy,,Vasiliy_Kandinskiy_52,1910
1,Vasiliy Kandinskiy,The Rider,Vasiliy_Kandinskiy_84,1911
1,Vasiliy Kandinskiy,In Grey,Vasiliy_Kandinskiy_18,1919
1,Vasiliy Kandinskiy,Small worlds I,Vasiliy_Kandinskiy_74,1922
1,Vasiliy Kandinskiy,Several Circles,Vasiliy_Kandinskiy_44,1926
1,Vasiliy Kandinskiy,Composition X,Vasiliy_Kandinskiy_80,1939
2,Diego Rivera,Detroit Industry,Diego_Rivera_12,1932
2,Diego Rivera,Man at the Crossroads,Diego_Rivera_71,1934
2,Diego Rivera,Detroit Industry Murals,Diego_Rivera_46,1933
3,Claude Monet,"Impression,Sunrise",Claude_Monet_73,1872
3,Claude Monet,Arrival of the Normandy Train,Claude_Monet_54,1877
4,Rene Magritte,This is Not a Pipe,Rene_Magritte_45,1928
4,Rene Magritte,比利牛斯山上城堡,,1959
4,Rene Magritte,戴帽子的男人,Rene_Magritte_87,1964
5,Salvador Dali,La persistencia de la memoria,Salvador_Dali_140,1931
6,Edouard Manet,草地上的午餐,Edouard_Manet_34,1862
6,Edouard Manet,Un bar aux Folies Bergère,Edouard_Manet_44,1882
7,Andrei Rublev,三位一体,Andrei_Rublev_90,1416
8,Vincent van Gogh,the starry night,Vincent_van_Gogh_368,1889
8,Vincent van Gogh,Sunflowers,Vincent_van_Gogh_875,1889
8,Vincent van Gogh,branches of an almond tree in blossom,Vincent_van_Gogh_507,1890
9,Gustav Klimt,The Kiss,Gustav_Klimt_118,1907
9,Gustav Klimt,Adele Bloch-Bauer's Portrait,Gustav_Klimt_119,1907
10,Hieronymus Bosch,Adoration of the Magi,Hieronymus_Bosch_94,1510
10,Hieronymus Bosch,Christ Carrying the Cross,Hieronymus_Bosch_137,1515
11,Kazimir Malevich,Portrait of a Woman,Kazimir_Malevich_16,1932
11,Kazimir Malevich,Head of Peasant,Kazimir_Malevich_87,1932
12,Mikhail Vrubel,Demon,Mikhail_Vrubel_134,1890
13,Pablo Picasso,Girl in front of mirror,Pablo_Picasso_119,1932
13,Pablo Picasso,Self-Portrait,Pablo_Picasso_440,1907
13,Pablo Picasso,A dream,Pablo_Picasso_441,1932
14,Peter Paul Rubens,Portrait of Susanne Fourment,Peter_Paul_Rubens_29,1625
14,Peter Paul Rubens,portrait of helena fourment,Peter_Paul_Rubens_1,1630
14,Peter Paul Rubens,the judgment of paris,Peter_Paul_Rubens_50,1636
15,Pierre-Auguste Renoir,坐着的裸女,Pierre-Auguste_Renoir_184,1883
16,Francisco Goya,dona isabel cobos de porcel,Francisco_Goya_280,1806
16,,self portrait,Francisco_Goya_116,1795
18,El Greco,lady with a fur,El_Greco_23,1578
18,,christ carrying the cross,El_Greco_16,1580
19,Albrecht Dürer,the virgin on a crescent with a crown of stars and a scepter,Albrecht_Dürer_81,1516
19,,祈祷之手,Albrecht_Dürer_49,1509
20,Alfred Sisley,Avenue of Chestnut Trees near La Celle-Saint-Cloud,Alfred_Sisley_258,1865
20,Alfred Sisley,La Seine au point du jou,Alfred_Sisley_257,1877
21,Pieter Bruegel,Pieter Bruegel the Elder,Pieter_Bruegel_73,1565
21,Pieter Bruegel,Pieter_Bruegel_the_Younger,Pieter_Bruegel_43,1616
22,Marc Chagall,To My Betrothed,Marc_Chagall_159,1911
22,Marc Chagall,I and the Village,Marc_Chagall_183,1911
22,Marc Chagall,"A la Russie, aux ânes et aux autres",Marc_Chagall_227,1923
22,Marc Chagall,"Trois heures et demie (Le poète), Half-Past Three (The Poet) Halb vier Uhr,",Marc_Chagall_166,1941
23,Giotto di Bondone,The Ascension of St John the Evangelist,Giotto_di_Bondone_7,1291
23,Giotto di Bondone,the Mourning of St. Francis,Giotto_di_Bondone_40,1301
23,Giotto di Bondone,The verso of The Stefaneschi Altarpiece,Giotto_di_Bondone_106,1320
24,Sandro Botticelli,Primavera,Sandro_Botticelli_22,1482
24,Sandro Botticelli,The Birth of Venus,Sandro_Botticelli_25,1485
25,Caravaggio,"Nativity with St. Francis and St. Lawrence,",Sandro_Botticelli_38,1600
26,Leonardo da Vinci,Mona Lisa,Leonardo_da_Vinci_121,1517
26,Leonardo da Vinci,The Last Supper,Leonardo_da_Vinci_114,1490
26,Leonardo da Vinci,Lady with an Ermine,Leonardo_da_Vinci_34,1489
26,Leonardo da Vinci,Virgin of the Rocks,Leonardo_da_Vinci_67,1483
26,Leonardo da Vinci,Vitruvian Man,Leonardo_da_Vinci_23,1490
27,Diego Velazquez,The Surrender of Breda ,Diego_Velazquez_4,1634
27,Diego Velazquez,Rokeby Venus ,Diego_Velazquez_16,1647
27,Diego Velazquez,Portrait of Innocent,Diego_Velazquez_59,1650
27,Diego Velazquez,Las Meninas ,Diego_Velazquez_42,1656
27,Diego Velazquez,Las Hilanderas,Diego_Velazquez_53,1657
28,Henri Matisse,Woman with a Hat ,Henri_Matisse_10,1905
28,Henri Matisse,The Joy of Life,Henri_Matisse_48,1906
28,Henri Matisse,Nu bleu,Henri_Matisse_64,1907
28,Henri Matisse,La Danse,Henri_Matisse_60,1909
28,Henri Matisse,L’Atelier Rouge,Henri_Matisse_171,1911
